# ID_1        photz   SED   chisq       RA            Dec          rflux      f814w     f105w        f140w          ch1      ech1       
  9.000146    0.91    8     39.98       175.6690603   15.4625251   0.0        0.32285   0.50484747   0.45302293     0.0      1.4258538  
  9.000147    1.02    8     47.71       175.6691592   15.4622609   0.088219   0.0       0.51860917   0.5106463      0.0      1.4258538  
  9.000148    1.0     3     60.29       175.6692778   15.4620951   0.088219   0.0       0.5478229    0.51556116     0.0      1.4258538  
  9.000149    1.04    8     23.49       175.7037087   15.4625235   0.0        0.0       0.35328093   0.36539295     0.0      1.4258538  
  9.000150    1.19    8     485.45      175.6767744   15.4623825   0.98474    0.0       2.7789464    3.6894379      0.0      1.4258538  
  9.000151    0.89    1     106.42      175.6871243   15.4623483   1.1494     4.4598    10.453945    16.414974      37.355   1.4259     
  9.000152    0.92    8     4287.4      175.693139    15.4622682   0.0        5.9709    9.152088     11.511189      44.157   1.4259     
  9.000153    0.92    1     11610.0     175.692488    15.4619046   0.0        0.0       11.162467    14.55862       44.157   1.4259     
  9.000154    0.95    8     20.86       175.682062    15.4624831   0.0        0.0       0.25139704   0.18141793     0.0      1.4258538  
  9.000155    1.24    9     691.82      175.7045997   15.4619399   1.2898     1.2334    5.763419     9.365268       35.296   1.4259     
  9.000156    0.47    3     236.06      175.7049224   15.4614565   1.1191     0.82627   2.7600706    4.111499       0.0      1.4258538  
  9.000157    1.07    3     55.37       175.6902217   15.462034    0.27192    0.0       0.7612375    0.86035997     0.0      1.4258538  
  9.000158    1.27    8     76.6        175.6998459   15.46175     1.4299     3.0075    6.791414     9.238473       24.326   1.4259     
  9.000159    0.89    8     225.53      175.7030368   15.4620116   0.0        0.0       1.3061714    1.596615       0.0      1.4258538  
  9.000160    1.04    8     25.44       175.6945378   15.4619543   0.0        0.0       0.38226116   0.40820676     0.0      1.4258538  
  9.000161    0.99    8     10.53       175.6967169   15.4619762   0.0        0.0       0.26090366   0.29322445     0.0      1.4258538  
  9.000162    0.86    8     73676.0     175.7094644   15.4613405   16.74      0.0       10.677761    13.769564      72.239   1.4259     
  9.000163    0.86    9     459.06      175.7027312   15.4614069   3.582      8.6513    16.701681    25.3957        55.861   1.4259     
  9.000164    1.03    8     14.87       175.7039293   15.4616894   0.0        0.0       0.30121747   0.33000475     0.0      1.4258538  
  9.000165    1.02    8     394.55      175.6692778   15.4613401   0.0        0.0       1.3341362    1.2914577      0.0      1.4258538  
  9.000166    1.0     8     205.18      175.6694417   15.4611105   0.0        0.0       0.9119272    0.8285528      0.0      1.4258538  
  9.000167    1.0     8     270.54      175.6694044   15.4609359   0.0        0.0       1.0561368    0.9806639      0.0      1.4258538  
  9.000168    0.97    3     409.46      175.6698137   15.4612647   0.22037    0.0       1.3970122    1.1846776      0.0      1.4258538  
  9.000169    1.01    3     8.5846E7    175.6796899   15.4598415   698.43     1075.5    2674.978     3126.945       1163.7   1.4259     
  9.000170    1.04    8     10.73       175.6897501   15.4611139   0.32279    0.57185   1.2090387    1.5436903      0.0      1.4258538  
  9.000171    0.62    8     356.31      175.6735496   15.4611033   0.84       1.6407    1.0858259    0.99586433     0.0      1.4258538  
  9.000172    0.9     1     10.24       175.6801062   15.4611554   0.0        0.0       0.29969546   0.39788738     0.0      1.4258538  
  9.000173    0.61    1     292.5       175.69547     15.46089     1.1638     2.3784    2.0278704    2.1482272      0.0      1.4258538  
  9.000174    0.87    8     20.07       175.6951436   15.4612022   0.0        0.3774    0.3758722    0.41763818     0.0      1.4258538  
  9.000175    0.95    2     38.36       175.6858955   15.4610333   0.20696    0.0       0.45553336   0.42010725     0.0      1.4258538  
  9.000176    0.73    8     155.26      175.7043792   15.4608544   0.58819    0.0       0.92708635   0.84255874     0.0      1.4258538  
  9.000177    1.1     8     86958.0     175.67679     15.460618    4.0484     4.6111    37.119335    43.643562      22.7     1.4259     
  9.000178    0.9     1     107.2       175.6835934   15.4607553   0.0        0.28223   1.7232972    2.514202       0.0      1.4258538  
  9.000179    1.08    8     133.15      175.6864878   15.4605934   2.0178     3.5078    6.4494133    8.643312       15.4     1.4259     
  9.000180    1.26    8     56.55       175.6894522   15.4606841   0.37939    0.0       0.7004872    1.41397        0.0      1.4258538  
  9.000181    1.04    8     34.1        175.7054878   15.4605937   0.0        0.0       0.45048484   0.48829263     0.0      1.4258538  
  9.000182    1.25    1     58.1        175.7069068   15.4603687   0.0        0.0       1.0553589    2.2646453      0.0      1.4258538  
  9.000183    0.5     8     85.72       175.697799    15.4603511   0.50137    0.0       0.6072397    0.69246876     0.0      1.4258538  
  9.000184    0.99    8     118.67      175.6694948   15.4602823   0.0        0.0       0.679955     0.59292555     0.0      1.4258538  
