# ID        RA            DEC           z      Mag    Int_Pz    Rad(')   Rank
09.000175   175.6858955  +15.4610333    0.95   99.00  0.192     0.59     140
09.000089   175.6978571  +15.4660202    0.95   99.00  0.249     1.05     140
09.000180   175.6894522  +15.4606841    1.26   99.00  0.185     0.56     140
09.000095   175.6833769  +15.4655326    0.93   99.00  0.233     0.89     140
09.000302   175.7020697  +15.4551691    0.94   99.00  0.228     0.85     139
09.000228   175.7001018  +15.4581066    0.91   99.00  0.223     0.81     139
09.000218   175.6987164  +15.4584414    1.09   99.00  0.214     0.75     138
09.000070   175.6955453  +15.4662383    0.99   99.00  0.240     0.99     138
09.000172   175.6801062  +15.4611554    0.90   99.00  0.212     0.74     138
09.000452   175.6798651  +15.4482373    0.82   99.00  0.167     0.50     138
09.000117   175.6914919  +15.4639586    1.03   99.00  0.217     0.78     138
09.000123   175.6925450  +15.4635218    0.89   99.00  0.216     0.78     138
09.000622   175.6805552  +15.4367610    1.04   99.00  0.237     0.98     138
09.000066   175.6709351  +15.4671505    1.18   99.00  0.263     1.36     138
09.000545   175.6871314  +15.4414580    1.21   99.00  0.186     0.60     137
09.000161   175.6967169  +15.4619762    0.99   99.00  0.219     0.81     137
09.000402   175.6711885  +15.4508338    1.07   99.00  0.235     0.97     137
09.000490   175.6775250  +15.4458268    0.99   99.00  0.201     0.69     137
09.000609   175.6966214  +15.4374632    0.95   99.00  0.233     0.98     136
09.000464   175.7003459  +15.4467973    0.89   99.00  0.210     0.77     136
09.000453   175.6775197  +15.4480087    0.92   99.00  0.189     0.64     136
09.000233   175.6754373  +15.4578855    1.02   99.00  0.215     0.82     135
09.000527   175.6774786  +15.4430379    0.89   99.00  0.210     0.79     135
09.000213   175.7018092  +15.4586614    1.02   99.00  0.224     0.91     135
09.000267   175.6766662  +15.4563681    0.95   99.00  0.199     0.72     134
09.000061   175.6835970  +15.4674434    1.11   99.00  0.230     1.00     134
09.000567   175.6773688  +15.4400285    1.03   99.00  0.221     0.92     134
09.000154   175.6820620  +15.4624831    0.95   99.00  0.201     0.75     134
09.000356   175.6715712  +15.4527017    1.05   99.00  0.224     0.95     134
